Temp (C),Pressure (bar),Moisture Level 1,Moisture Level 2,Light Level,Date,Time
22.45,0.9909,100,100,82,2023-12-29,12:04
22.70,0.9909,100,100,83,2023-12-29,12:04
22.69,0.9909,100,100,84,2023-12-29,12:04
22.66,0.9909,100,100,24,2023-12-29,12:04
22.63,0.9909,100,100,26,2023-12-29,12:04
22.66,0.9909,100,100,11,2023-12-29,12:04
22.64,0.9909,100,100,19,2023-12-29,12:04
22.62,0.9909,100,100,18,2023-12-29,12:04
22.63,0.9909,100,100,11,2023-12-29,12:04
22.62,0.9909,57,100,10,2023-12-29,12:04
22.60,0.9909,100,100,23,2023-12-29,12:04
22.54,0.9909,100,100,33,2023-12-29,12:04
22.51,0.9908,100,100,21,2023-12-29,12:04
22.48,0.9909,32,100,15,2023-12-29,12:04
22.42,0.9909,100,100,27,2023-12-29,12:04
22.37,0.9908,100,100,31,2023-12-29,12:04
22.36,0.9909,100,100,25,2023-12-29,12:04
22.33,0.9909,31,16,17,2023-12-29,12:04
22.37,0.9909,17,24,17,2023-12-29,12:04
22.33,0.9909,41,17,17,2023-12-29,12:04
22.30,0.9909,20,30,21,2023-12-29,12:04
22.28,0.9909,17,42,15,2023-12-29,12:04
22.25,0.9909,40,50,19,2023-12-29,12:05
22.20,0.9909,10,13,22,2023-12-29,12:05
22.16,0.9909,20,22,19,2023-12-29,12:05
22.14,0.9909,21,23,23,2023-12-29,12:05
22.15,0.9909,20,29,24,2023-12-29,12:05
22.17,0.9909,18,28,27,2023-12-29,12:05
22.13,0.9909,96,100,7,2023-12-29,12:05
22.13,0.9909,25,84,17,2023-12-29,12:05
22.13,0.9909,39,100,9,2023-12-29,12:05
22.13,0.9909,33,30,10,2023-12-29,12:05
22.10,0.9909,43,76,10,2023-12-29,12:05
22.08,0.9909,100,81,5,2023-12-29,12:05
22.09,0.9909,100,30,27,2023-12-29,12:05
22.13,0.9909,46,99,16,2023-12-29,12:05
22.11,0.9909,32,100,17,2023-12-29,12:05
22.09,0.9909,56,100,17,2023-12-29,12:05
22.06,0.9909,100,100,23,2023-12-29,12:05
22.07,0.9908,100,36,25,2023-12-29,12:05
22.08,0.9909,100,39,25,2023-12-29,12:05
22.10,0.9908,100,38,25,2023-12-29,12:05
22.11,0.9908,100,100,26,2023-12-29,12:05
22.09,0.9908,100,100,25,2023-12-29,12:05
22.10,0.9908,100,100,25,2023-12-29,12:05
22.12,0.9909,100,100,25,2023-12-29,12:06
22.14,0.9909,100,100,25,2023-12-29,12:06
